Id,SalePrice,Prediction,AbsLogError,GrLivArea,TotalSF,OverallQual,Neighborhood,YearBuilt,GarageArea
1299,160000.0,620816.75,1.3558574953851412,5642,11752,10,Edwards,2008,1418
524,184750.0,650477.0,1.258698504708736,4676,7814,10,Edwards,2007,884
31,40000.0,93933.9140625,0.853697685056062,1317,1966,4,IDOTRR,1920,250
633,82500.0,181190.59375,0.786744585945268,1411,2797,7,NWAmes,1977,544
463,62383.0,126341.984375,0.7056914747258993,864,1728,5,Sawyer,1965,360
1325,147000.0,296278.9375,0.7008653527192781,1795,3590,8,Somerst,2006,895
496,34900.0,67996.21875,0.666951321511343,720,1440,4,IDOTRR,1920,0
689,392000.0,222313.5625,0.5671710636609557,1419,2838,8,StoneBr,2007,567
917,35311.0,61465.58203125,0.5542707960071134,480,960,2,IDOTRR,1949,308
971,135000.0,78821.359375,0.5380854807898299,1192,1912,4,NAmes,1949,0
89,85000.0,49906.20703125,0.5324975993144871,1526,2026,3,IDOTRR,1915,0
1433,64500.0,103516.5859375,0.47306078315404143,968,1624,4,OldTown,1927,216
1424,274970.0,172545.015625,0.46600167941599224,2201,2898,6,Edwards,1966,432
1183,745000.0,470716.15625,0.4591281645429053,4476,6872,10,NoRidge,1996,813
813,55993.0,88452.8203125,0.4572360693102713,1044,1584,5,IDOTRR,1952,504
411,60000.0,94684.6484375,0.45620121230717103,1276,2552,5,Edwards,1958,350
682,159434.0,101910.140625,0.4475350524019355,1520,2313,5,SWISU,1932,281
1454,84500.0,131942.578125,0.44561102414891884,1140,2280,5,Mitchel,2006,0
589,143000.0,217803.515625,0.4207463199386403,1473,2910,5,ClearCr,1968,452
969,37900.0,57309.859375,0.413512626688183,968,1568,3,OldTown,1910,0
489,160000.0,106547.03125,0.4065841840811082,2414,3368,5,OldTown,1900,520
582,253293.0,377877.53125,0.40002192867765807,2042,4084,8,NridgHt,2008,1390
667,129000.0,187812.84375,0.3756311231764169,2380,3401,6,NAmes,1965,596
692,755000.0,519477.46875,0.3738937101731121,4316,6760,10,NoRidge,1994,832
770,538000.0,376924.46875,0.35581294661580287,3279,4929,8,StoneBr,2003,841
1123,112000.0,78931.40625,0.3499159306974793,960,1632,4,Edwards,1956,288
67,180000.0,254858.390625,0.34774957733234224,2207,4154,7,NAmes,1970,576
314,375000.0,264917.09375,0.3475079946111048,2036,4172,7,Timber,1965,513
534,39300.0,55271.59375,0.34102722961353216,334,334,1,BrkSide,1946,0
590,79500.0,111404.78125,0.3374096222686571,935,1521,5,BrkSide,1930,308
715,130500.0,182588.71875,0.33586077224254574,1479,2204,6,Sawyer,1976,475
432,79900.0,111268.3359375,0.3311653437851163,1198,2099,6,OldTown,1920,0
659,97500.0,135117.65625,0.3262906932248075,1458,2370,6,NAmes,1948,330
1063,90000.0,124676.3203125,0.3259081807676676,2337,2999,5,OldTown,1900,560
711,52000.0,71615.2421875,0.3200589452692757,729,999,3,BrkSide,1935,0
1329,256000.0,186335.640625,0.31762641706330186,2792,4302,6,OldTown,1920,520
14,279500.0,203920.34375,0.3152715207661778,1494,2988,7,CollgCr,2006,840
775,395000.0,288256.78125,0.31503314296248774,1973,3908,8,NridgHt,2006,895
1350,122000.0,167102.734375,0.3145855420754806,2358,2837,8,OldTown,1872,0
875,66500.0,90358.328125,0.3065772708937935,1131,1807,5,OldTown,1941,200
739,179000.0,131829.25,0.30587628226754404,1200,2400,5,Edwards,1987,0
455,188000.0,138735.140625,0.3038734217146608,1728,3456,5,Mitchel,1976,560
198,235000.0,318152.75,0.3029449870480576,3112,4080,8,NAmes,1918,795
561,121500.0,164403.8125,0.30240926210857744,1392,2784,5,Sawyer,1957,528
665,423000.0,312784.71875,0.30185619165087196,2097,4174,8,Somerst,2005,1134
309,82500.0,111505.4375,0.30127191018026167,861,1722,4,Edwards,1940,539
823,225000.0,166952.6875,0.29838839304191644,1733,2580,7,Gilbert,2003,433
1213,113000.0,83896.3203125,0.29780299433196866,672,1344,4,Edwards,1941,234
219,311500.0,231357.046875,0.2974360514907861,1954,2752,7,Crawfor,1939,431
750,98000.0,72852.4453125,0.29652785793768643,1529,1529,4,Edwards,1945,240
480,89471.0,119768.359375,0.2916421609802988,1131,2038,4,OldTown,1937,672
804,582933.0,438061.59375,0.285712164123785,2822,4556,9,NridgHt,2008,1020
1023,87000.0,115457.203125,0.2829889739212845,1248,2160,5,OldTown,1930,160
1047,556581.0,420951.5625,0.2792943601801152,2868,4860,9,StoneBr,2005,716
1212,164000.0,216568.21875,0.27803768806741225,1752,2311,8,Gilbert,1988,492
717,159500.0,210612.3125,0.2779736181550554,2554,3272,7,OldTown,1890,704
1346,108500.0,82337.1796875,0.27592448069915676,960,1920,4,OldTown,1920,308
305,295000.0,387409.0625,0.2725049789160021,3493,4963,7,OldTown,1880,870
614,147000.0,111976.4609375,0.27214178006286893,1120,2240,5,Mitchel,2007,0
773,107000.0,140271.234375,0.27074688549310544,1117,2146,6,Edwards,1976,672
98,94750.0,124070.2109375,0.26960328452585713,960,1920,4,Edwards,1965,432
458,256000.0,195539.765625,0.2694124732127765,1663,3027,4,ClearCr,1954,529
186,475000.0,363278.5625,0.26814422681183103,3608,4143,10,OldTown,1892,840
1014,85000.0,110758.8828125,0.2647016191443292,1022,2044,5,OldTown,1910,280
218,107000.0,82212.03125,0.2635243596933101,1328,2014,4,OldTown,1925,210
143,166000.0,128301.7421875,0.2576011677953005,1385,2295,5,NAmes,1952,720
629,135000.0,174638.71875,0.2574429159661946,2080,3120,5,NAmes,1969,504
608,225000.0,174098.09375,0.25648020522015,2008,2904,5,Edwards,1948,230
1182,392500.0,304071.0625,0.2552743639776942,1652,3252,8,Crawfor,2008,482
452,280000.0,217766.75,0.25136404668161383,1533,3066,7,ClearCr,1975,576
677,87000.0,111720.3515625,0.2500882259291384,1774,2869,4,OldTown,1900,779
262,276000.0,353352.3125,0.2470639527517342,2574,4056,8,CollgCr,2007,868
973,99500.0,126995.8828125,0.24399484700859908,918,1836,6,SawyerW,1979,264
319,260000.0,331698.78125,0.24354480930935374,2646,3993,7,NoRidge,1993,656
1050,84900.0,108045.578125,0.2410765412744258,930,930,4,Edwards,1946,308
865,250580.0,196919.921875,0.24097998520224984,1372,2744,7,Somerst,2007,529
497,430000.0,338133.59375,0.24034351168544532,3228,6428,8,NoRidge,1992,546
278,141000.0,111137.046875,0.23799388841011648,864,1728,4,Gilbert,1951,400
663,110000.0,138567.078125,0.23087228701024465,1392,2784,6,NAmes,1968,576
729,110000.0,138459.546875,0.23009596827855816,1776,3360,5,NAmes,1958,888
1153,230000.0,182821.5,0.2295679199549916,1811,2884,6,Crawfor,1956,470
1128,259000.0,205970.421875,0.22909449229222467,1530,3060,7,Gilbert,2004,630
1280,68400.0,85982.1015625,0.2287633390821604,1128,1826,4,IDOTRR,1920,528
329,214500.0,170708.578125,0.2283506612686086,2134,2978,6,BrkSide,1916,441
1416,175900.0,220905.8125,0.22781961292135122,1569,2955,7,Blmngtn,2007,660
224,97000.0,121410.46875,0.2244640571925487,864,1728,4,NAmes,1971,576
239,318000.0,255873.9375,0.21736572770779006,1694,3388,8,NridgHt,2007,818
1214,145000.0,116722.0859375,0.21693629627694122,960,1608,4,Sawyer,1965,364
560,234000.0,189627.734375,0.21025725790409844,1557,2931,7,Blmngtn,2003,420
670,137500.0,112012.875,0.2050084422567675,1180,1880,4,Crawfor,1922,252
138,171000.0,209818.234375,0.20457696689689087,1959,3866,7,Mitchel,1988,766
274,139000.0,170422.125,0.20380318793191243,1632,2872,6,NAmes,1958,338
1066,328000.0,267643.15625,0.20335833411022897,2260,3566,7,ClearCr,1996,533
440,110000.0,134740.359375,0.20286762769630684,1196,1880,6,Edwards,1920,528
349,154000.0,188498.84375,0.20213808207621575,1626,2390,7,NridgHt,2003,474
4,140000.0,171330.46875,0.2019505285047991,1717,2473,7,Crawfor,1915,642
508,208300.0,170369.3125,0.2010097722246389,1218,2436,6,Somerst,2009,676
956,145000.0,176710.125,0.19777569821414787,1958,2937,6,Crawfor,1946,492
913,88000.0,107243.40625,0.19776222222078488,1015,1783,5,BrkSide,1925,450
18,90000.0,109651.5546875,0.19749599177645294,1296,1296,4,Sawyer,1967,516
47,239686.0,291942.15625,0.19722520743097682,2149,3583,7,Mitchel,2003,670
1379,83000.0,101072.328125,0.19699361853829167,987,1470,6,BrDale,1973,264
57,172500.0,210031.234375,0.19685798240575636,1739,2709,8,Somerst,1999,480
1384,112000.0,136240.40625,0.19592055833298438,1416,2232,5,Sawyer,1918,576
1203,117000.0,141730.75,0.19175370475396214,1348,2232,5,BrkSide,1925,216
117,139000.0,114895.1484375,0.19045246405306848,1092,2184,5,Sawyer,1962,288
638,93000.0,112497.625,0.19033075356394136,1387,2198,5,OldTown,1954,256
154,235000.0,194686.609375,0.18819349867488633,1252,2854,6,ClearCr,1960,564
844,141000.0,116869.0078125,0.18770470975875675,1800,3600,5,NAmes,1961,0
941,150900.0,181930.984375,0.18700891234662365,1728,3456,6,Mitchel,1976,574
933,320000.0,265789.375,0.18561618660256585,1905,3810,9,Somerst,2006,788
1360,315000.0,379048.75,0.1850916495347299,1980,3960,9,NridgHt,2004,770
1049,115000.0,138379.421875,0.1850657487587295,1771,1771,5,Mitchel,1960,336
1144,80000.0,96200.6875,0.18440776450209384,1006,2012,5,Sawyer,1959,0
521,106250.0,88360.4140625,0.18436883767758339,1294,1294,4,OldTown,1900,0
558,108000.0,89826.40625,0.18425036550055118,1336,1973,4,IDOTRR,1920,570
899,611657.0,509166.59375,0.18339607962127147,2364,4694,9,NridgHt,2009,820
745,180000.0,216015.828125,0.18239390620527196,1337,2674,8,StoneBr,1993,462
800,175000.0,145838.734375,0.1822833791694638,1768,2499,5,SWISU,1937,240
71,244000.0,292180.84375,0.18020403736140267,2223,4446,7,NAmes,1973,516
1245,230000.0,192122.84375,0.17994347311648617,1517,2309,8,Crawfor,1929,400
837,153500.0,128326.2109375,0.17912374416287058,1559,3118,5,OldTown,1948,812
93,163500.0,136839.0,0.1780067464171502,964,1840,5,Crawfor,1921,432
885,100000.0,119337.71875,0.17678563996615182,892,1784,5,NAmes,1967,288
1029,105000.0,125179.21875,0.17578457505695688,1376,2144,5,NAmes,1941,240
1027,167500.0,140573.75,0.17524994562996987,1264,2532,5,NAmes,1960,461
1184,120000.0,142971.703125,0.17515364872019923,1130,2250,5,OldTown,1920,720
366,147000.0,123438.9140625,0.1746848776104546,1344,2016,5,IDOTRR,1920,468
896,140000.0,166634.234375,0.17415763277710816,1796,2576,6,NAmes,1963,483
1164,108959.0,129635.609375,0.1737543813724507,1258,2456,4,Sawyer,1969,400
897,106500.0,89549.4453125,0.17335227350183224,951,1902,4,IDOTRR,1936,327
679,372500.0,313224.40625,0.173316643258012,2046,4092,8,StoneBr,2008,834
658,149000.0,177138.859375,0.17298656918517707,1502,2278,7,Crawfor,1931,270
490,86000.0,102174.84375,0.17233636321423695,630,1260,4,MeadowV,1970,286
457,98000.0,82522.9375,0.17188927993016634,1344,1968,5,OldTown,1916,513
226,112000.0,94345.5546875,0.1715330449745487,1302,1932,5,BrDale,1971,280
333,284000.0,337013.5625,0.1711483823031461,1629,4835,8,NridgHt,2003,880
1146,149000.0,125682.1015625,0.17018934543915343,1576,2618,5,BrkSide,1928,225
336,228950.0,193167.671875,0.16994425208550012,1786,3285,5,Timber,1965,529
478,380000.0,450236.46875,0.16960126761270544,2643,4796,9,NridgHt,2006,694
331,119000.0,140949.359375,0.16927587078230744,1728,3456,5,NAmes,1964,352
1179,154900.0,130818.6875,0.16896625942816712,1343,2074,5,Crawfor,1921,186
5,250000.0,295903.09375,0.1685704763666589,2198,3343,8,NoRidge,2000,836
681,143000.0,120990.203125,0.1671337817348686,923,1846,6,SawyerW,1980,264
1073,91500.0,108113.609375,0.16684196118490924,1456,2266,5,Edwards,1948,280
39,109000.0,128742.6171875,0.16646590657324722,1057,2114,5,NAmes,1953,246
419,126000.0,106719.7109375,0.16607459957458737,1134,1890,5,Edwards,1940,240
236,89500.0,75832.234375,0.16571315362575945,987,1470,6,BrDale,1971,264
304,149900.0,127021.078125,0.16561416134687867,894,1788,5,CollgCr,1972,552
547,210000.0,177973.15625,0.16547394246657987,1635,2700,6,BrkSide,1923,440
1046,139600.0,118356.6328125,0.1650775261887798,1733,1733,3,Edwards,1955,452
287,159000.0,187371.3125,0.16418712191600804,1734,2646,6,NAmes,1962,440
886,328900.0,279177.09375,0.16390688659900476,1709,3407,9,Somerst,1999,506
1363,104900.0,123580.0234375,0.1638799529319961,1738,2453,4,NAmes,1920,368
113,383970.0,326084.15625,0.16340846615587346,2696,3960,7,CollgCr,2007,792
1169,235000.0,199889.96875,0.1618177078079146,2108,3235,6,Edwards,1935,540
693,335000.0,285039.0,0.16150399559765738,2519,3729,7,Timber,1989,628
744,175000.0,148914.0,0.16141601482590673,1464,1984,5,Sawyer,1963,480
297,152000.0,129400.796875,0.16096483159605235,1558,2468,5,IDOTRR,1950,282
1356,170000.0,199667.046875,0.16085190260015025,1920,2490,7,NWAmes,1968,487
530,200624.0,235568.546875,0.16056869179246824,2515,4550,6,Crawfor,1957,484
772,102000.0,119730.2109375,0.1602667044219377,1220,2056,4,Edwards,1951,396
327,324000.0,276132.78125,0.1598611392524667,1719,3438,8,Veenker,1993,473
132,244000.0,208038.328125,0.15944518429300558,2054,3046,6,Gilbert,2000,390
376,61000.0,71517.5703125,0.15906688314614037,904,1587,1,Edwards,1922,0
536,107500.0,125879.546875,0.15783326675205167,1347,2464,5,Edwards,1910,0
1093,136500.0,159803.0625,0.15761651480652894,1694,2875,6,SWISU,1925,576
321,342643.0,401136.875,0.1576131888422534,2596,3845,9,NridgHt,2006,840
260,97000.0,113546.28125,0.15749803733950252,882,882,5,OldTown,1956,308
889,268000.0,313552.875,0.1569804835410089,2217,4434,8,NAmes,1970,621
1323,190000.0,222239.796875,0.15673212934572334,1923,2673,7,NoRidge,1992,564
708,254000.0,217207.984375,0.15647825228858636,1324,2648,8,NridgHt,2006,550
746,299800.0,350354.8125,0.1558303240112533,2715,3857,8,NWAmes,1976,831
1057,185850.0,217155.375,0.15567243872469483,1364,2728,7,NridgHt,2005,484
155,125000.0,107008.84375,0.1554009093763682,1200,2400,6,OldTown,1923,312
94,133900.0,156401.03125,0.15532909462970856,2291,3505,6,OldTown,1910,506
107,100000.0,85690.4296875,0.1544273689814979,1047,1688,4,OldTown,1885,273
1031,160000.0,137258.546875,0.1533064289559256,1928,2614,5,SWISU,1916,0
446,127500.0,148508.09375,0.1525219860365823,1689,3125,6,Edwards,1956,480
243,79000.0,91966.421875,0.15197389366816694,1440,1980,5,OldTown,1900,352
1387,250000.0,290823.375,0.15125464478756356,2784,4176,7,NWAmes,1978,564
1081,145000.0,168651.0625,0.15109715195367635,1258,2516,6,NWAmes,1971,528
474,440000.0,378376.96875,0.1508833862736978,1976,3952,8,NridgHt,2006,908
1271,260000.0,223590.59375,0.15086433162352186,1524,2856,7,ClearCr,1979,586
209,277000.0,238381.28125,0.15014550747583932,2062,3219,7,SawyerW,1988,454
550,263000.0,226335.203125,0.15013631614980305,2094,3006,7,Somerst,2003,615
173,239000.0,205717.1875,0.14996052567442497,1767,2831,7,StoneBr,1987,504
1394,163000.0,140347.359375,0.14962872254388415,1912,2394,6,OldTown,1905,672
119,320000.0,371530.5,0.1493095311606094,3222,4895,7,SawyerW,1990,594
1248,169900.0,146408.140625,0.14881087893446754,1034,2046,6,Mitchel,1976,888
378,340000.0,293014.0625,0.14872454323679385,2466,4046,8,Somerst,2004,610
1240,265900.0,229386.34375,0.14771202697946606,1484,2960,8,Timber,2006,472
1219,80500.0,69471.5078125,0.14733850343889188,912,912,4,BrkSide,1947,0
1291,180500.0,155869.296875,0.14671208679258285,1152,2304,5,NAmes,1964,484
323,301000.0,260213.890625,0.1456057949481515,2730,4232,7,SawyerW,1986,576
1263,161500.0,139846.34375,0.14395990869094888,1788,2892,4,ClearCr,1957,304
1099,128000.0,110994.265625,0.14255052801341606,1324,1996,4,BrkSide,1936,240
308,89500.0,103209.8203125,0.14252389713788993,1406,1725,6,IDOTRR,1920,0
1345,155835.0,179670.0,0.14232322847475665,1456,2184,7,CollgCr,2006,440
176,243000.0,211117.078125,0.140647969639911,2158,3360,6,Edwards,1950,576
1326,55000.0,63280.8671875,0.14024746289440593,796,1592,4,IDOTRR,1922,0
998,185000.0,160889.40625,0.13963780379227408,1442,2884,6,NWAmes,1970,615
859,152000.0,132265.609375,0.1390674461822119,1370,2460,7,NWAmes,1976,479
1064,110500.0,126950.9609375,0.13878418387484537,1103,2206,6,OldTown,1925,440
179,501837.0,437018.0,0.13830068603526868,2234,4450,9,StoneBr,2008,1166
49,113000.0,98436.59375,0.13797388683025424,1452,2188,4,OldTown,1920,0
672,103600.0,118830.1796875,0.13715684548671803,1369,2041,6,Edwards,1925,300
1381,58500.0,67047.953125,0.1363791481487464,864,1728,3,Edwards,1914,200
1228,147000.0,128306.5078125,0.13600960193273437,912,1824,5,NAmes,1965,576
1045,278000.0,318455.375,0.1358607846517934,2524,5048,8,NWAmes,1981,542
108,115000.0,100457.78125,0.13519331742351426,789,1578,5,OldTown,1948,250
441,555000.0,484866.03125,0.1350952245696373,2402,5496,10,NridgHt,2008,672
1452,287090.0,250849.734375,0.1349411602009578,1578,3151,8,Somerst,2008,840
974,182000.0,208278.53125,0.13486889614882358,1428,2856,7,Somerst,2007,480
280,192000.0,219693.78125,0.13473864477817976,2022,3182,7,ClearCr,1977,505
427,275000.0,240373.546875,0.13457641519183206,1644,3162,7,SawyerW,1989,569
810,106000.0,121231.25,0.1342595993188649,2138,2987,5,OldTown,1898,360
1404,282922.0,247410.671875,0.13412113881747523,1464,2949,8,Somerst,2007,754
1108,274725.0,240374.46875,0.13357208334495674,2021,2889,7,Gilbert,2006,422
1224,137900.0,120683.546875,0.13335594570217246,2136,4272,5,NAmes,1951,528
730,103000.0,90149.171875,0.13326184072821334,1208,1628,4,IDOTRR,1925,539
1443,310000.0,354043.125,0.13284602897821074,2007,3024,10,Somerst,2008,812
421,206300.0,180666.21875,0.1326794987965254,1344,2688,7,Mitchel,1997,784
931,201000.0,229341.9375,0.13190854385099193,1466,2932,8,Timber,2007,610
914,145000.0,165428.9375,0.13180712786703452,2002,3003,5,Crawfor,1949,871
398,169500.0,148596.640625,0.13161657170581975,1812,2676,5,NAmes,1962,264
20,139000.0,121885.546875,0.1313904589295536,1339,2368,5,NAmes,1958,294
46,319900.0,280589.34375,0.131115818716518,1752,3504,9,NridgHt,2005,576
180,100000.0,113935.375,0.1304599926177037,968,1936,5,OldTown,1923,480
1265,181000.0,158879.15625,0.13035237236943686,1337,2742,6,NAmes,1998,511
215,161750.0,142000.390625,0.1302212650550043,1392,2081,6,CollgCr,1977,299
510,124500.0,141804.984375,0.130146068133147,1041,2082,5,NAmes,1959,270
140,231500.0,203309.828125,0.12984821215023246,1764,2692,6,CollgCr,1997,470
1087,83500.0,95044.7265625,0.12949950020117917,1092,1638,4,MeadowV,1973,286
348,157500.0,179270.859375,0.12947161368610693,1478,2956,6,NAmes,1960,498
1409,125500.0,110279.5234375,0.1292863940823743,1363,1985,4,OldTown,1910,528
1230,127000.0,144497.90625,0.12907697787635009,1507,2582,5,NAmes,1960,404
882,187500.0,213215.71875,0.1285249286395409,1717,2873,7,Timber,1990,400
334,207000.0,182155.125,0.12785947515003926,1358,2716,7,NridgHt,2004,484
79,136500.0,120127.890625,0.12776668570217709,1768,3536,4,Sawyer,1968,0
240,113000.0,128301.984375,0.12699786403227975,1487,2222,6,Edwards,1945,220
1341,123000.0,108377.1640625,0.1265658552444151,872,1730,4,NAmes,1971,480
1279,237000.0,268730.40625,0.12564803046638318,2031,3159,8,CollgCr,2002,577
555,284000.0,250643.375,0.12494265747577948,2046,3044,7,NridgHt,2003,871
1032,197000.0,223205.828125,0.12489001712987857,3082,3509,7,SWISU,1920,672
1062,81000.0,91774.109375,0.1248796208803018,894,1788,3,IDOTRR,1935,1248
780,135000.0,152893.5625,0.12446636402513178,1004,1979,6,Mitchel,1977,504
1438,394617.0,348450.8125,0.12441825888351055,1932,3864,8,NridgHt,2008,774
381,127000.0,143811.34375,0.12431432086751748,1691,2717,5,SWISU,1924,308
1412,140000.0,158465.734375,0.12389512808872638,1668,2524,6,NAmes,1950,271
242,110500.0,97688.4375,0.12323112905237288,866,1552,5,OldTown,1945,0
991,348000.0,307677.09375,0.12315126707260937,2392,3788,8,NoRidge,1997,870
1069,151400.0,171220.375,0.12302536388464702,2521,3463,6,MeadowV,1973,576
1347,262500.0,296860.4375,0.12301059798659075,2156,3724,7,NWAmes,1968,508
967,160000.0,141485.765625,0.1229738816570709,1308,2036,5,Crawfor,1940,256
1382,237500.0,210033.25,0.1229012213351659,2117,3322,6,NAmes,1970,550
618,105500.0,119290.609375,0.12285056294041397,832,1664,6,NAmes,1954,528
245,205000.0,231725.359375,0.1225423328980213,2110,3058,7,SawyerW,1994,463
8,200000.0,226062.953125,0.12249557113510967,2090,3197,7,NWAmes,1973,484
1028,293077.0,331170.625,0.1221979603386174,1646,3284,8,Timber,2007,800
1400,137450.0,155297.890625,0.12208409673940857,1608,2584,6,SWISU,1925,216
272,241500.0,213787.859375,0.12188472433161834,1363,2748,7,ClearCr,1954,439
1343,228500.0,258093.125,0.12178375727804358,2169,3453,8,CollgCr,2002,647
23,230000.0,203857.34375,0.12065829748071799,1795,3572,8,CollgCr,2002,534
1060,220000.0,194998.03125,0.12063750119388672,1991,2845,6,Crawfor,1932,432
431,85400.0,96325.8125,0.12038889651397078,987,1470,6,BrDale,1971,264
712,102776.0,91138.8828125,0.12016609254166966,1178,2037,4,IDOTRR,1900,384
402,164990.0,186049.21875,0.12012570359276786,1310,2620,7,CollgCr,2005,400
1140,144000.0,127763.390625,0.11963237448565245,1167,2082,5,BrkSide,1920,495
1010,102000.0,114961.8984375,0.11962683686909514,1522,2016,5,SWISU,1926,0
265,73000.0,82260.8125,0.11943385667011697,764,1444,5,OldTown,1925,504
1132,93500.0,105350.9140625,0.11933417726518769,974,1948,5,Mitchel,1991,0
539,158000.0,140245.546875,0.11919943923328447,1159,2210,5,Sawyer,1968,336
1056,180000.0,159877.15625,0.11855040474027057,1523,2716,6,NWAmes,1976,478
945,137500.0,154777.734375,0.11836538707288469,1344,2163,6,Timber,1958,525
575,139000.0,123506.3828125,0.11818019320983097,1109,1481,5,NAmes,1971,288
861,189950.0,168871.875,0.11761993123353598,1426,2338,7,Crawfor,1918,216
382,187750.0,211174.46875,0.11757277647232556,1301,2594,7,Somerst,2006,572
706,55000.0,61860.4140625,0.11754525918724035,1092,1092,4,IDOTRR,1930,0
276,205000.0,182274.328125,0.1174965213198309,1548,2500,7,BrkSide,1925,672
919,238000.0,267595.6875,0.1172060742840646,2127,3231,7,SawyerW,1991,833
207,143900.0,128005.8515625,0.11704177282041783,1696,2836,5,Sawyer,1962,349
1143,424870.0,377968.34375,0.11697250229804546,2828,4294,8,CollgCr,2006,1052
1021,176000.0,156593.859375,0.11682772029100086,1132,2264,4,Edwards,2005,451
852,215000.0,191295.71875,0.11681695535899728,1456,2729,8,Blmngtn,2003,400
159,254900.0,226830.25,0.11666888552345966,1947,2938,7,Somerst,2004,678
809,159950.0,142399.09375,0.11622686099531876,1086,2110,5,NAmes,1966,484
1316,206900.0,184273.5,0.11581392425697068,2112,3064,6,NAmes,1969,576
1006,149900.0,133552.390625,0.11547374853538805,985,1970,5,CollgCr,1977,328
459,161000.0,143476.953125,0.11522918950853978,1666,2254,8,OldTown,1925,228
936,79900.0,89656.0078125,0.11520299722989868,747,1347,4,BrkSide,1926,528
1258,99900.0,89043.421875,0.11504432821131516,864,1728,5,Edwards,1922,0
