Id,SalePrice,Prediction,AbsLogError,GrLivArea,TotalSF,OverallQual,Neighborhood,YearBuilt,GarageArea
633,82500.0,177733.31795591523,0.7674794250287977,1411,2797,7,NWAmes,1977,544
31,40000.0,85140.47275126513,0.7554098044436142,1317,1966,4,IDOTRR,1920,250
463,62383.0,122806.50718761879,0.6773093150538916,864,1728,5,Sawyer,1965,360
1325,147000.0,284910.95493668935,0.661740813016543,1795,3590,8,Somerst,2006,895
496,34900.0,64548.486928849605,0.6149166867381446,720,1440,4,IDOTRR,1920,0
971,135000.0,75848.06298886266,0.576536833575938,1192,1912,4,NAmes,1949,0
89,85000.0,48018.3219633887,0.5710595503130254,1526,2026,3,IDOTRR,1915,0
917,35311.0,59771.206556748075,0.5263179301030902,480,960,2,IDOTRR,1949,308
689,392000.0,238403.84786151187,0.4972941208336117,1419,2838,8,StoneBr,2007,567
411,60000.0,97866.8287133244,0.48925665302562926,1276,2552,5,Edwards,1958,350
969,37900.0,61351.316358290074,0.4816554299309388,968,1568,3,OldTown,1910,0
589,143000.0,230214.6528122164,0.47616486731149976,1473,2910,5,ClearCr,1968,452
813,55993.0,89625.0707187054,0.47040170336284604,1044,1584,5,IDOTRR,1952,504
1433,64500.0,100508.77680934302,0.4435742768950668,968,1624,4,OldTown,1927,216
534,39300.0,58982.38742817569,0.40600587139964084,334,334,1,BrkSide,1946,0
1454,84500.0,126708.42217347735,0.4051330819595318,1140,2280,5,Mitchel,2006,0
711,52000.0,76423.48939371693,0.38504023744675386,729,999,3,BrkSide,1935,0
682,159434.0,109367.98707994039,0.37690894775618666,1520,2313,5,SWISU,1932,281
67,180000.0,255597.0081554494,0.350643523223626,2207,4154,7,NAmes,1970,576
561,121500.0,172163.27272441046,0.34852660180020933,1392,2784,5,Sawyer,1957,528
582,253293.0,357408.05524165137,0.3443300694389553,2042,4084,8,NridgHt,2008,1390
875,66500.0,92812.0717729907,0.33337050435238424,1131,1807,5,OldTown,1941,200
715,130500.0,181109.60315811186,0.32772702224355577,1479,2204,6,Sawyer,1976,475
775,395000.0,287031.72344752506,0.31929206830261236,1973,3908,8,NridgHt,2006,895
